STUDENT ID,Student Age,Sex,Graduated high-school type,Scholarship type,Additional work,Regular artistic or sports activity,Do you have a partner,Total salary if available,Transportation to the university,Accommodation type in Cyprus,Mother’s education,Father’s education ,Number of sisters/brothers,Parental status,Mother’s occupation,Father’s occupation,Weekly study hours,Reading frequency,Reading frequency.1,Attendance to the seminars/conferences related to the department,Impact of your projects/activities on your success,Attendance to classes,Preparation to midterm exams 1,Preparation to midterm exams 2,Taking notes in classes,Listening in classes,Discussion improves my interest and success in the course,Flip-classroom,Cumulative grade point average in the last semester (/4.00),Expected Cumulative grade point average in the graduation (/4.00),COURSE ID,GRADE
STUDENT189,3,2,3,4,2,2,2,4,2,3,2,6,2,1,4,1,5,2,2,2,3,1,3,1,3,1,2,2,2,1,7,5
STUDENT190,1,2,2,4,1,2,2,3,1,4,2,3,4,2,3,2,2,3,1,1,1,1,3,3,3,2,1,3,2,4,4,7
STUDENT191,3,2,2,1,1,1,2,2,1,3,2,3,3,1,3,1,5,2,2,2,3,2,1,2,1,1,3,2,2,2,8,1
STUDENT192,1,1,1,1,1,1,1,3,2,4,3,1,3,1,4,1,1,3,3,2,3,1,1,2,1,2,2,2,3,3,2,3
STUDENT193,1,2,2,4,1,2,1,1,1,3,1,6,3,3,4,4,4,2,3,2,1,1,1,2,2,2,2,1,1,3,5,0
STUDENT194,1,1,2,1,1,1,1,2,2,4,3,6,3,3,3,5,2,2,1,1,3,1,3,2,3,3,1,1,5,1,3,0
STUDENT195,2,2,2,5,1,2,1,3,4,2,6,1,2,3,5,2,2,3,2,1,2,2,1,1,2,3,3,2,2,3,1,3
STUDENT196,2,1,1,4,1,1,1,4,3,1,4,3,5,3,4,5,1,3,1,1,2,1,1,3,3,2,1,2,2,3,1,4
STUDENT197,2,2,2,2,2,1,1,2,2,1,5,1,5,1,5,4,5,3,1,1,2,2,3,2,1,1,2,3,1,1,5,6
STUDENT198,2,1,3,2,1,2,2,1,3,3,1,4,5,2,4,5,4,1,3,1,3,1,2,3,1,1,3,3,1,1,3,7
STUDENT199,3,1,1,2,1,1,2,1,1,4,6,3,4,3,4,1,2,2,3,1,3,1,2,2,3,3,1,2,2,2,4,3
STUDENT200,2,2,1,2,2,1,1,2,4,4,6,6,1,3,3,3,3,3,3,1,1,2,1,3,3,2,2,3,5,2,5,0
STUDENT201,1,1,3,5,1,1,2,2,3,4,2,4,5,3,5,4,5,3,3,1,1,1,1,3,2,1,3,2,4,3,7,0
STUDENT202,3,1,1,1,2,1,1,4,1,2,4,3,5,3,5,5,1,2,1,2,3,2,2,1,1,2,2,3,1,4,3,1
STUDENT203,1,1,2,1,2,2,2,1,1,3,2,1,5,3,5,4,1,2,1,1,1,1,2,3,2,3,3,2,4,4,7,4
STUDENT204,3,1,2,4,2,2,1,1,2,2,4,6,1,2,4,4,3,3,1,2,1,2,2,1,3,1,3,2,1,1,1,3
STUDENT205,3,1,3,4,2,2,1,3,2,4,5,2,5,2,2,2,5,2,3,1,2,2,2,2,1,3,1,2,1,4,6,4
STUDENT206,3,2,3,2,2,1,1,2,1,2,1,4,4,3,2,4,5,2,2,1,3,1,3,2,3,3,3,2,2,1,4,5
STUDENT207,3,1,2,5,1,1,1,1,4,2,5,6,3,2,1,2,2,1,3,1,2,1,3,2,3,2,3,3,4,1,6,4
STUDENT208,1,2,3,2,2,1,1,3,4,2,4,4,3,3,4,3,4,3,3,1,2,1,1,3,2,1,3,2,1,3,8,5
STUDENT209,2,1,1,1,2,2,2,2,4,4,3,3,1,3,4,1,2,3,1,1,2,1,3,3,1,2,3,3,2,3,1,4
STUDENT210,2,2,2,4,1,2,2,1,2,4,3,3,3,2,4,5,4,1,1,1,2,1,1,3,1,2,1,1,5,4,4,5
STUDENT211,1,1,2,4,2,2,1,2,2,2,2,3,4,3,3,4,3,1,3,1,2,1,1,3,1,2,2,2,2,4,6,2
STUDENT212,2,1,2,3,1,1,2,5,3,1,1,2,5,1,5,1,5,3,1,2,1,1,2,1,3,2,1,2,2,3,9,6
STUDENT213,3,2,1,2,2,2,2,4,2,3,5,1,2,1,5,4,3,1,3,1,1,2,2,2,3,3,3,3,2,3,4,5
STUDENT214,2,2,1,1,1,2,2,4,4,2,4,2,3,2,2,1,2,1,2,2,2,2,1,3,1,2,2,3,5,2,1,5
STUDENT215,3,1,3,1,2,1,2,4,2,3,4,6,1,1,4,2,1,3,2,1,2,1,3,1,3,3,1,1,2,2,8,3
STUDENT216,3,1,3,1,1,1,2,2,4,2,5,1,4,1,4,5,1,1,2,2,3,1,2,1,2,1,3,3,1,3,7,7
STUDENT217,2,1,2,4,1,2,2,1,3,3,4,5,2,1,1,3,4,2,1,2,1,2,3,3,1,2,3,1,2,2,1,0
STUDENT218,1,1,2,1,2,2,1,5,4,1,2,1,3,2,3,2,1,3,3,1,2,1,2,2,3,1,3,3,3,2,8,3
STUDENT219,3,1,2,2,2,1,2,2,1,2,6,2,4,3,1,5,2,3,1,1,1,1,2,1,2,3,1,3,2,4,3,5
STUDENT220,2,1,1,1,1,1,2,4,3,4,2,3,3,3,5,2,5,3,2,1,2,2,1,1,3,1,2,3,1,1,5,4
STUDENT221,2,1,2,1,1,1,1,1,2,4,5,1,2,3,4,5,5,1,2,2,2,1,3,3,3,3,1,2,1,3,5,7
STUDENT222,2,2,1,5,1,2,1,1,4,3,5,2,2,3,2,4,3,2,1,1,2,2,2,3,2,1,2,2,1,4,4,2
STUDENT223,1,2,1,5,1,1,2,2,2,4,3,3,3,2,1,3,1,1,1,2,1,1,2,3,2,3,1,1,2,2,9,4
STUDENT224,2,2,1,1,2,2,2,2,2,3,4,6,1,2,4,1,2,1,1,1,2,1,3,3,2,2,2,1,4,2,3,7
STUDENT225,1,1,3,4,1,2,1,5,1,2,4,6,5,2,4,2,4,2,1,2,2,1,1,2,3,1,3,2,4,3,6,3
STUDENT226,1,2,3,1,1,2,2,1,2,1,5,6,1,2,2,2,2,2,1,1,3,1,3,2,3,2,2,3,3,3,8,2
STUDENT227,1,1,2,3,2,2,1,5,2,3,2,2,3,3,3,5,5,3,3,2,1,2,3,3,1,2,2,2,5,2,4,0
STUDENT228,1,2,2,4,2,1,1,4,4,4,2,1,4,2,5,4,1,1,3,1,3,2,3,1,3,1,3,1,3,4,8,2
STUDENT229,1,2,1,3,2,2,2,3,3,4,3,2,1,1,1,3,3,1,3,1,3,2,1,2,1,1,3,1,5,3,9,2
STUDENT230,2,1,2,2,1,2,1,1,4,3,4,6,1,1,2,2,3,1,2,1,3,1,3,1,3,3,3,3,2,2,2,4
STUDENT231,2,1,1,3,2,1,1,5,3,3,3,5,1,3,2,4,4,2,3,2,2,1,2,1,3,2,3,2,4,2,7,5
STUDENT232,3,2,3,4,2,1,2,5,2,2,3,5,2,1,3,4,2,1,3,1,1,2,3,3,1,3,2,2,3,1,4,5
STUDENT233,3,2,3,5,2,2,2,5,2,4,5,1,4,3,2,4,5,3,3,1,3,1,1,2,1,2,1,3,5,3,5,2
STUDENT234,3,1,2,5,1,2,2,2,3,1,1,2,1,3,4,3,4,1,1,1,3,1,2,1,1,2,2,1,5,4,2,6
STUDENT235,3,2,1,3,1,2,1,3,2,3,1,3,2,1,1,4,4,2,2,1,2,2,2,2,1,2,3,2,4,1,9,4
STUDENT236,2,1,1,3,1,2,2,5,1,1,6,5,5,1,3,3,3,1,3,1,2,1,1,2,2,1,1,1,2,3,3,5
STUDENT237,3,2,3,4,2,2,2,1,4,3,4,1,2,1,2,2,5,2,1,2,3,1,2,3,2,1,2,3,5,1,8,4
STUDENT238,2,2,1,1,2,2,1,5,4,1,2,6,1,2,5,2,2,2,3,1,3,2,1,1,2,1,1,2,3,4,4,1
STUDENT239,3,1,2,3,2,1,2,4,2,1,6,3,4,3,1,1,5,1,1,2,1,2,1,3,3,3,2,1,4,2,3,4
STUDENT240,1,1,2,5,1,2,2,4,2,2,1,3,4,1,2,1,2,3,1,2,3,2,1,2,1,3,3,3,5,2,2,6
STUDENT241,2,2,3,3,2,2,2,5,2,1,1,3,5,3,4,3,5,3,2,1,1,2,1,1,2,2,3,2,1,2,5,3
STUDENT242,3,2,2,1,2,2,2,5,3,1,6,6,2,3,4,5,3,3,3,1,3,2,2,3,3,2,3,1,2,3,6,6
STUDENT243,1,2,3,3,2,1,2,1,2,4,5,2,2,1,3,3,1,3,3,2,1,1,1,3,2,1,2,2,5,2,4,1
STUDENT244,2,1,1,4,2,1,1,4,4,1,2,5,4,2,4,2,5,3,3,2,1,1,3,2,3,3,2,1,4,4,3,2
STUDENT245,3,2,1,4,2,2,2,4,4,3,2,2,3,1,2,3,4,3,2,1,1,2,1,3,3,2,2,1,3,4,6,1
STUDENT246,2,1,1,5,2,1,2,5,1,3,6,2,4,2,2,4,3,2,1,1,1,2,2,2,3,1,3,1,3,3,9,2
STUDENT247,2,2,3,5,1,2,1,2,1,4,5,2,1,3,2,5,3,1,1,2,3,2,3,3,1,3,2,2,4,3,8,7
STUDENT248,2,2,3,2,2,1,1,5,4,3,6,3,1,1,3,2,2,1,2,1,2,1,2,2,1,3,3,3,4,4,3,3
STUDENT249,3,2,1,5,1,1,2,3,3,1,1,1,3,2,2,5,1,2,3,2,3,2,3,3,2,2,2,3,5,3,3,6
STUDENT250,1,2,3,2,2,2,2,4,1,2,1,3,5,2,5,3,2,3,1,2,1,1,3,2,3,2,2,3,2,2,6,2
STUDENT251,3,2,3,1,2,2,1,4,3,2,6,3,2,2,4,2,3,2,2,1,2,1,1,2,2,1,2,2,3,4,8,6
STUDENT252,3,2,3,1,1,1,1,5,2,1,5,5,4,1,4,4,4,2,1,1,1,1,3,1,1,1,3,1,5,4,9,0
STUDENT253,2,1,3,3,2,2,2,1,1,2,3,5,4,3,2,2,1,1,1,1,1,2,3,2,2,1,1,3,1,3,2,7
STUDENT254,3,1,2,3,2,2,1,5,3,1,3,3,5,3,5,2,1,2,1,2,2,2,1,1,3,1,1,2,2,4,7,5
STUDENT255,3,1,1,1,1,1,1,2,3,4,2,1,3,1,1,3,5,1,3,2,2,1,1,2,1,3,2,2,1,2,5,5
STUDENT256,3,2,2,2,2,1,2,5,4,2,2,5,5,2,1,4,1,2,3,2,2,2,1,3,1,3,1,2,3,4,6,2
STUDENT257,2,2,2,2,2,2,2,5,3,2,6,1,5,2,1,1,2,3,2,2,2,2,2,2,3,3,3,1,1,3,6,4
STUDENT258,3,2,1,2,1,2,1,5,3,1,4,3,4,1,2,1,3,3,2,2,1,2,1,2,1,2,2,3,1,3,7,1
STUDENT259,1,1,2,2,1,1,1,1,3,1,3,2,5,2,5,3,2,3,2,1,3,1,2,2,1,3,1,1,3,1,7,3
STUDENT260,3,1,2,1,1,2,1,5,3,3,6,2,3,2,1,1,3,2,3,2,2,2,1,2,2,1,2,1,1,4,7,4
STUDENT261,1,1,3,1,1,1,2,5,1,1,3,2,1,1,2,2,1,3,3,2,3,2,1,1,1,3,1,2,3,3,9,3
STUDENT262,3,1,1,4,2,1,1,2,3,3,1,3,2,3,4,5,4,2,3,1,3,2,1,1,1,3,2,3,4,3,2,4
STUDENT263,1,1,3,2,1,1,1,4,3,1,5,4,5,1,5,3,3,3,1,2,2,1,3,3,2,2,2,1,2,4,3,2
STUDENT264,1,1,1,2,1,2,1,5,1,3,6,2,1,3,3,1,2,3,1,2,2,1,1,1,1,3,3,1,4,2,9,2
STUDENT265,1,2,3,3,1,2,2,3,1,3,2,1,3,3,2,4,4,1,2,1,3,2,1,2,2,2,2,2,2,2,1,4
STUDENT266,2,1,2,2,2,1,2,3,4,2,5,1,4,2,5,4,4,3,3,1,3,1,2,1,2,1,3,3,2,4,3,4
STUDENT267,2,2,1,1,1,2,1,2,1,3,6,5,3,3,4,3,1,3,2,2,1,2,3,2,2,2,3,3,4,2,4,5
STUDENT268,1,1,1,5,2,2,1,3,4,2,5,3,2,1,4,1,4,2,2,1,3,1,3,1,2,2,1,3,2,3,6,4
STUDENT269,2,1,2,2,2,2,2,4,3,3,2,4,5,1,5,4,2,1,2,2,1,2,1,2,1,3,3,2,2,3,8,3
STUDENT270,3,1,1,2,2,1,2,3,3,3,3,5,4,1,3,1,3,2,3,2,2,2,1,1,3,3,1,2,4,4,4,3
STUDENT271,2,1,1,4,2,1,2,5,1,4,3,3,2,1,5,5,4,1,2,2,1,1,1,2,3,2,1,3,5,2,2,3
STUDENT272,2,1,1,5,1,1,1,4,1,3,3,1,5,2,5,4,2,1,2,1,1,1,2,1,2,1,3,1,3,3,8,5
STUDENT273,2,1,3,1,2,1,1,3,2,1,5,5,3,1,3,1,5,1,2,2,1,1,2,3,2,3,3,3,3,4,7,4
STUDENT274,3,2,1,4,2,2,1,5,4,4,3,5,5,1,3,1,2,3,2,1,3,1,2,3,3,1,3,1,4,2,7,4
STUDENT275,3,1,3,5,1,2,2,5,2,2,6,5,4,2,1,1,2,2,1,1,2,1,2,1,3,2,3,1,5,1,1,5
STUDENT276,3,2,2,4,2,1,1,4,2,4,5,2,1,3,3,2,3,1,1,1,3,2,2,3,3,2,3,3,4,3,3,6
STUDENT277,1,2,2,4,2,1,1,4,4,1,2,1,5,2,2,2,4,3,1,2,2,1,1,2,2,2,1,1,5,1,4,1
STUDENT278,1,1,1,5,2,2,1,3,2,4,1,2,5,2,3,2,5,3,3,1,1,2,1,2,1,3,1,1,1,3,7,1
STUDENT279,3,1,2,4,1,2,2,5,1,2,4,4,3,2,2,4,2,1,2,2,3,2,2,3,2,2,2,3,3,2,8,4
STUDENT280,1,2,2,3,1,1,2,2,3,3,4,2,3,1,4,1,1,2,2,2,2,2,3,3,2,2,3,1,4,1,3,2
STUDENT281,2,1,1,2,1,1,1,4,1,1,1,6,3,1,5,5,2,2,3,1,1,1,3,2,2,2,2,3,3,2,5,3
STUDENT282,3,2,1,5,2,2,2,5,1,3,5,2,1,3,4,3,4,2,1,2,3,1,1,1,2,3,2,1,4,3,2,5
STUDENT283,2,2,2,2,1,1,2,4,4,2,1,6,3,1,5,4,4,1,2,2,2,2,3,1,3,2,1,1,4,2,4,6
STUDENT284,1,2,1,3,1,1,2,2,2,3,5,4,5,2,5,1,2,3,1,2,2,2,1,2,3,2,3,2,4,2,7,0
STUDENT285,1,2,2,3,2,1,2,1,4,2,4,3,1,1,2,2,4,3,3,1,3,2,1,2,1,3,3,3,3,1,4,3
STUDENT286,2,2,3,3,2,1,1,5,1,2,1,1,5,1,3,3,3,3,3,2,3,1,2,2,3,1,3,3,3,4,5,2
STUDENT287,1,1,2,5,2,2,2,4,3,1,1,3,4,1,2,3,1,2,2,1,2,1,3,3,3,3,3,1,5,4,2,2
STUDENT288,1,2,1,5,1,1,1,4,3,3,2,1,2,2,3,5,4,3,2,2,3,1,1,3,3,3,2,2,2,4,8,1
STUDENT289,3,2,3,1,2,1,1,5,1,2,6,3,3,2,5,3,1,1,2,1,2,1,3,1,2,3,2,3,2,2,3,1
STUDENT290,1,2,1,3,2,1,1,4,1,2,6,4,4,2,4,2,5,3,2,2,3,2,3,1,3,1,3,1,1,4,1,1
STUDENT291,3,1,1,5,2,1,2,1,1,3,1,6,4,1,1,4,3,1,2,1,2,2,2,3,1,1,2,2,2,2,9,7
STUDENT292,2,2,1,1,1,2,1,5,1,2,6,3,4,1,1,2,2,1,3,1,3,1,1,3,1,1,2,1,4,1,2,2
STUDENT293,2,2,1,3,2,2,2,2,4,3,4,2,3,1,3,3,3,1,3,1,1,1,2,1,2,2,3,2,1,2,4,1
STUDENT294,3,1,2,5,1,2,1,4,2,4,3,3,1,1,4,3,2,1,1,2,2,2,2,3,1,1,1,2,5,1,2,5
STUDENT295,1,2,3,1,1,2,2,1,4,2,2,2,2,2,2,2,4,3,3,2,1,2,1,2,3,2,1,2,1,3,9,5
STUDENT296,3,2,3,3,1,2,1,4,2,4,4,2,5,3,2,5,1,1,3,1,1,1,2,1,2,3,3,2,2,4,2,7
STUDENT297,1,1,1,5,2,1,2,1,1,3,2,6,1,1,4,2,5,1,3,2,3,1,3,3,3,1,1,1,3,3,4,7
STUDENT298,1,2,2,4,1,2,1,3,1,4,5,3,2,3,2,3,5,2,3,2,3,2,3,3,1,2,2,2,3,3,8,6
STUDENT299,2,1,1,3,2,2,2,4,1,4,1,3,4,1,5,2,5,3,2,2,1,2,2,3,1,1,3,2,2,4,1,1
STUDENT300,1,2,3,5,1,2,2,5,2,2,3,6,1,2,5,1,4,3,1,2,3,2,2,1,1,2,1,3,3,2,6,2
STUDENT301,3,2,3,5,1,1,1,1,3,3,3,5,5,2,4,3,1,3,1,2,2,1,1,1,3,2,2,3,3,3,1,0
STUDENT302,1,2,1,2,2,2,1,3,1,1,3,5,2,2,5,1,2,3,1,1,1,2,2,1,2,1,3,3,4,4,7,6
STUDENT303,1,1,3,3,1,1,1,5,3,2,4,2,3,1,2,5,1,3,1,1,1,1,2,1,1,2,3,3,1,3,2,1
STUDENT304,2,2,2,3,2,2,1,1,2,3,2,3,2,1,5,1,4,3,2,2,3,1,2,2,3,3,1,2,4,1,1,5
STUDENT305,3,1,1,5,1,1,1,2,4,2,6,4,1,2,5,3,1,1,2,2,1,1,2,3,1,3,3,2,3,1,2,0
STUDENT306,1,2,1,2,2,1,2,2,1,1,6,2,2,1,5,2,4,3,1,1,2,2,1,1,2,3,2,3,1,3,8,4
STUDENT307,1,2,3,5,2,1,1,4,1,1,2,5,5,1,4,5,3,3,1,1,1,2,1,3,1,3,2,3,4,1,7,6
STUDENT308,2,1,2,4,2,1,1,3,1,2,2,2,1,1,5,5,4,1,2,2,3,1,1,1,3,2,1,3,3,4,7,7
STUDENT309,1,1,2,5,1,2,2,4,4,1,6,1,3,1,5,3,5,2,1,2,2,2,3,3,3,3,2,3,5,4,1,5
STUDENT310,2,1,1,4,1,2,2,1,1,4,6,3,2,2,2,3,1,1,2,2,3,2,3,3,1,2,2,1,4,2,7,0
STUDENT311,3,2,2,4,2,1,2,4,2,3,1,6,5,3,4,5,4,1,2,2,2,1,2,3,1,1,1,3,3,4,7,2
STUDENT312,2,1,2,5,1,1,2,4,3,3,6,2,3,3,4,2,1,1,3,2,1,2,3,3,3,2,1,1,4,3,9,1
STUDENT313,1,1,2,1,2,2,2,3,2,4,5,3,4,3,2,2,3,3,1,2,3,1,1,2,3,1,2,3,4,1,5,4
STUDENT314,2,2,2,2,1,2,2,4,1,3,6,1,2,3,1,2,1,3,3,2,1,2,3,2,3,2,3,2,5,1,8,4
STUDENT315,3,2,3,2,2,1,2,2,2,1,6,2,1,1,5,3,2,3,1,2,1,1,2,3,1,1,1,3,4,4,4,5
STUDENT316,2,1,3,1,2,2,2,1,4,1,4,6,3,2,4,4,4,2,2,1,2,2,3,3,1,1,2,1,3,3,5,3
STUDENT317,3,2,3,3,1,2,2,3,1,3,2,2,3,3,1,3,2,2,3,2,2,2,1,1,3,1,3,2,2,2,6,4
STUDENT318,3,2,1,4,2,2,1,1,2,2,6,5,4,2,5,1,4,1,3,1,3,2,1,1,3,1,2,1,3,2,2,6
STUDENT319,3,1,3,4,2,2,1,4,4,2,4,3,1,2,4,3,4,2,3,2,2,2,3,3,1,1,1,3,5,2,9,5
STUDENT320,3,2,3,4,2,2,2,5,4,2,5,6,2,2,5,4,3,2,3,2,1,1,2,1,1,3,2,3,4,4,9,0
STUDENT321,3,2,2,4,1,1,2,5,1,1,5,3,3,1,4,4,1,2,3,1,1,2,1,3,2,3,3,1,3,3,9,5
STUDENT322,1,2,1,1,2,2,1,3,3,4,6,4,4,1,2,3,4,3,2,2,3,1,2,2,2,1,2,1,3,3,6,0
STUDENT323,1,2,3,3,1,1,1,2,4,4,3,3,3,2,5,3,2,3,3,2,3,1,2,2,1,1,3,2,2,3,9,1
STUDENT324,2,2,2,3,2,2,1,1,2,2,1,4,4,3,4,4,3,2,1,1,1,2,2,3,2,2,3,3,4,2,6,6
STUDENT325,1,1,1,5,2,2,2,1,2,1,5,4,5,1,5,1,1,2,1,2,3,1,3,1,1,3,1,2,3,4,6,7
STUDENT326,1,1,3,5,2,1,1,3,3,3,1,3,5,3,5,1,2,2,2,2,3,1,1,1,3,1,2,3,1,1,9,4
STUDENT327,1,2,3,1,2,1,2,4,3,3,1,1,4,3,4,1,5,1,3,1,3,1,3,1,2,2,2,1,2,1,9,4
STUDENT328,3,1,3,1,2,1,2,1,1,2,1,3,3,2,4,2,2,2,3,2,1,1,2,2,1,1,1,2,3,4,7,2
STUDENT329,3,2,1,4,1,2,1,4,1,3,1,3,3,3,5,4,1,1,1,1,3,1,3,3,3,2,3,1,3,2,8,3
STUDENT330,2,1,3,3,1,2,1,2,1,4,5,3,1,1,3,1,5,3,3,2,1,2,3,3,3,2,2,1,2,4,5,6
STUDENT331,1,1,3,1,1,2,1,5,2,4,4,4,4,1,1,3,1,1,1,1,2,1,1,1,1,2,2,2,3,3,3,4
STUDENT332,2,1,2,5,2,1,1,3,1,4,4,1,2,3,3,3,3,1,3,2,2,1,1,2,2,3,3,2,4,1,1,4
STUDENT333,3,1,1,3,2,1,2,3,2,2,5,4,5,1,3,1,5,1,3,2,3,1,3,1,1,1,2,1,4,1,6,0
STUDENT334,2,1,1,1,1,2,2,3,4,3,5,3,2,2,2,4,1,2,3,1,3,2,2,1,1,3,1,2,4,4,3,1
STUDENT335,2,2,1,2,2,1,2,3,2,2,2,5,2,2,4,2,3,2,2,1,2,2,1,2,2,2,1,1,3,1,8,7
STUDENT336,2,2,2,1,1,1,1,5,1,1,6,3,3,2,5,4,5,1,1,1,2,1,3,1,2,2,1,2,5,1,9,4
STUDENT337,2,2,2,4,1,1,2,1,4,3,3,4,2,2,5,3,2,1,1,1,2,2,1,1,1,2,2,2,2,4,7,2
STUDENT338,3,1,1,2,1,1,1,1,4,3,6,1,5,1,1,2,5,2,1,1,1,2,1,3,1,2,2,1,5,3,8,7
STUDENT339,3,2,2,1,1,1,1,2,4,3,6,3,1,3,2,1,5,3,2,2,1,1,2,2,1,2,2,2,3,3,7,0
STUDENT340,1,1,2,5,2,1,2,1,2,3,4,3,5,2,4,4,5,2,1,2,2,1,1,2,1,2,2,1,5,1,6,4
STUDENT341,3,2,3,1,2,2,1,5,3,3,1,5,1,2,2,4,4,3,2,2,3,1,1,1,2,3,2,2,4,3,4,6
STUDENT342,1,2,2,2,1,2,2,1,1,3,1,2,5,1,4,2,4,3,3,1,2,2,2,2,3,2,2,1,3,2,4,2
STUDENT343,3,2,2,3,2,2,1,2,1,1,5,5,3,1,4,2,2,3,2,1,2,1,1,2,2,2,1,2,5,2,1,0
STUDENT344,3,1,3,1,2,1,2,3,1,1,2,6,5,2,1,1,4,1,2,2,1,1,2,1,3,2,3,1,3,4,4,3
STUDENT345,2,1,2,1,2,2,1,3,3,1,4,4,1,1,1,2,3,2,3,2,3,1,3,1,1,2,2,1,2,2,6,2
